station_id,obsTime,ELEV,WDIR,WDSD,TEMP,HUMD,PRES,SUN,H_24R,H_FX,H_XD,H_FXT,D_TX,D_TXT,D_TN,D_TNT
C0R220,2019/7/17 00:00,23,0,0.1,27.8,1,1000.2,-99,0,-99,-99,-99,33.9,,27.4,
C0Z220,2019/7/17 00:00,589,262,2.4,22.2,0.77,943.4,-99,0,-99,-99,-99,30.4,,21.3,
C0D560,2019/7/17 00:00,147,71,1.2,27.3,0.71,987.5,-99,0,-99,-99,-99,35,,26.6,
C0I380,2019/7/17 00:00,258,109,1.7,26.9,0.92,973.2,-99,0,-99,-99,-99,33.3,,25.7,
C0Z020,2019/7/17 00:00,211,48,4.6,25.4,0.94,981,-99,0,-99,-99,-99,33.2,,23.7,
C0Z190,2019/7/17 00:00,62,305,3.1,28.7,0.57,998.9,-99,0,-99,-99,-99,31.5,,26.2,
C0C710,2019/7/17 00:00,143,260,1.2,27.4,0.65,987.3,-99,0,-99,-99,-99,35.4,,25,
C0D360,2019/7/17 00:00,523,0,0,23.1,0.77,945.1,-99,0,-99,-99,-99,30.8,,22.7,
C0C680,2019/7/17 00:00,228,131,3.7,27.4,0.76,977.3,-99,0,9.7,162,,34.1,,25.9,
C0X140,2019/7/17 00:00,17,0,0.1,29.5,0.91,1000.3,-99,0,-99,-99,-99,34,,28.6,
C0V710,2019/7/17 00:00,34,39,1.1,29.6,0.91,998.7,-99,0,-99,-99,-99,32.2,,29,
C0G840,2019/7/17 00:00,32,0,0.1,27.8,0.94,996.7,-99,0,-99,-99,-99,34.2,,27.5,
C0S890,2019/7/17 00:00,238,23,3,26.3,0.84,980.8,-99,0,-99,-99,-99,34.5,,24.2,
C0T820,2019/7/17 00:00,550,0,0,21.4,0.81,950.4,-99,0,-99,-99,-99,33.7,,20.1,
C0F9I0,2019/7/17 00:00,194,200,1.4,27.7,0.9,980.6,-99,0,-99,-99,-99,31,,26.8,
C0C650,2019/7/17 00:00,208,81,3.1,27.2,0.68,979.8,-99,0,-99,-99,-99,33.7,,25.6,
C0R600,2019/7/17 00:00,766,64,0.7,24.7,0.85,920,-99,0,-99,-99,-99,27.4,,23.4,
C0Z320,2019/7/17 00:00,646,278,1,20.1,0.79,935.4,-99,0,-99,-99,-99,33.1,,18.9,
C0V210,2019/7/17 00:00,734,0,0,23.3,0.89,925.1,-99,0,-99,-99,-99,30.7,,19.8,
C0K240,2019/7/17 00:00,1132,122,4.3,22.4,0.96,885.2,-99,0,-99,-99,-99,25.7,,21.1,
C0M520,2019/7/17 00:00,15,0,0,27.9,0.92,1000.6,-99,0,-99,-99,-99,31.8,,27.2,
C0A530,2019/7/17 00:00,300,88,2.1,27,0.86,972.4,-99,0,-99,-99,-99,32.9,,22.8,
C0E820,2019/7/17 00:00,220,195,0.9,24.7,0.93,978.5,-99,0.5,-99,-99,-99,31.1,,24.6,
C0K450,2019/7/17 00:00,35,275,0.5,28.4,0.91,998.1,-99,0,-99,-99,-99,32.8,,28,
C0G760,2019/7/17 00:00,53,175,0.5,28.1,0.99,998.5,-99,0,-99,-99,-99,33.4,,28,
CM0120,2019/7/17 00:00,4,344,0.7,28.7,0.82,1002,-99,0,-99,-99,-99,31,,28.5,
